sample_key,instrument,relevance,num_responses
000144_30720,ukulele,0.0,3
000189_207360,guitar,0.16665,3
000190_126720,mandolin,0.0,3
000195_280320,banjo,0.0,3
000202_142080,banjo,0.0,3
000203_7680,mandolin,0.82855,3
000203_7680,ukulele,0.8281000000000001,3
000211_49920,banjo,0.18335,3
000211_49920,mandolin,1.0,3
000211_49920,ukulele,1.0,3
000248_157440,mandolin,0.1709,3
000248_157440,ukulele,1.0,3
000252_42240,ukulele,0.1593,3
000284_65280,banjo,0.0,3
000308_61440,bass,1.0,3
000319_145920,bass,1.0,3
000319_145920,bass,1.0,519
000321_218880,bass,0.1725499999999999,3
000336_69120,bass,0.8400000000000001,3
000359_46080,bass,1.0,3
000359_46080,banjo,0.0,3
000395_119040,cello,0.0,3
000396_821760,mandolin,0.0,3
000403_0,violin,0.1793,3
000403_0,guitar,0.0,3
000404_487680,banjo,0.0,3
000407_257280,violin,0.1757,3
000442_157440,mandolin,0.0,3
000442_157440,bass,0.0,3
000446_26880,ukulele,0.0,3
000461_218880,violin,1.0,3
000473_138240,mandolin,0.1674,3
000473_138240,banjo,0.16325,3
000473_138240,ukulele,0.1642,3
000504_203520,banjo,0.85,3
000507_11520,bass,1.0,3
000512_7680,ukulele,0.1724,3
000512_7680,mandolin,1.0,3
000590_84480,mandolin,0.1714999999999999,3
000590_84480,banjo,0.84495,3
000592_107520,banjo,0.15635,3
000592_107520,ukulele,1.0,3
000601_38400,ukulele,0.0,3
000601_38400,cello,0.1774,3
000602_103680,cello,0.17855,3
000606_15360,banjo,0.83335,3
000608_34560,violin,0.0,3
000615_326400,banjo,0.0,3
000641_96000,ukulele,0.0,3
000641_96000,mandolin,0.0,3
000641_96000,violin,0.0,3
000655_299520,violin,0.0,3
000693_307200,bass,0.1719,3
000725_445440,banjo,1.0,3
000739_0,violin,0.0,3
000739_0,guitar,1.0,3
000797_19200,bass,0.17095,3
000814_122880,violin,0.84145,3
000818_3840,ukulele,0.0,3
000818_3840,bass,0.15735,3
000851_3840,cello,0.0,3
000851_3840,bass,1.0,3
000862_15360,cello,0.0,3
000873_253440,cello,0.13795,3
000898_23040,mandolin,0.18035,3
000903_107520,ukulele,0.1724,3
000903_107520,mandolin,0.81525,3
000903_107520,banjo,0.1607,3
000914_69120,guitar,0.0,3
000929_38400,ukulele,0.0,3
001023_272640,violin,1.0,3
001023_272640,banjo,0.0,3
001037_211200,bass,0.0,3
001039_34560,cello,0.0,3
001050_0,bass,1.0,3
001051_733440,mandolin,0.14865,3
001051_733440,ukulele,0.8281000000000001,3
001051_733440,banjo,0.1607,3
001060_92160,mandolin,0.0,3
001074_49920,violin,0.0,3
001096_61440,ukulele,0.1875,3
001100_84480,banjo,0.83055,3
001100_84480,mandolin,0.0,3
001189_69120,violin,0.0,3
001214_760320,banjo,0.0,3
001216_610560,cello,0.81035,3
001231_99840,bass,0.0,3
001231_99840,cello,0.0,3
001240_1824000,mandolin,0.16665,3
001272_42240,cello,0.0,3
001291_84480,bass,0.8342499999999999,3
001302_96000,bass,0.18335,3
001305_142080,mandolin,0.0,3
001307_161280,banjo,0.0,3
001319_111360,bass,0.16665,3
001321_176640,mandolin,0.0,3
001321_176640,ukulele,0.0,3
001324_303360,mandolin,0.8182,3
001324_303360,ukulele,0.0,3
001327_46080,ukulele,0.75,4
001327_46080,banjo,0.8389,3
001327_46080,violin,0.0,3
001327_46080,mandolin,0.0,3
001332_72960,guitar,0.0,3
001332_72960,cello,0.0,3
001335_207360,guitar,1.0,3
001338_107520,banjo,0.0,3
001338_107520,cello,0.0,3
001338_107520,violin,0.17085,3
001339_49920,banjo,0.15385,3
001339_49920,mandolin,0.0,3
001343_72960,cello,1.0,3
001357_57600,cello,0.0,3
001357_57600,mandolin,0.0,3
001360_49920,mandolin,0.0,3
001361_111360,ukulele,0.0,3
001365_157440,ukulele,0.0,3
001372_84480,violin,0.0,3
001372_84480,bass,1.0,3
001374_26880,cello,0.0,3
001374_26880,ukulele,0.0,3
001376_176640,cello,0.0,3
001378_34560,violin,0.0,3
001383_134400,guitar,1.0,3
001475_176640,ukulele,0.0,3
001490_23040,banjo,1.0,3
001491_99840,ukulele,0.0,3
001491_99840,guitar,1.0,3
001492_46080,bass,0.1774,3
001492_46080,guitar,1.0,3
001501_211200,violin,1.0,3
001521_38400,cello,0.0,3
001522_284160,ukulele,0.0,3
001545_168960,violin,0.0,3
001545_168960,bass,0.14515,3
001555_142080,cello,0.0,3
001623_69120,ukulele,0.0,3
001658_65280,mandolin,0.8493999999999999,3
001658_65280,banjo,1.0,3
001668_391680,bass,0.0,3
001677_545280,mandolin,0.0,3
001680_337920,ukulele,0.0,3
001680_337920,mandolin,1.0,3
001682_284160,violin,1.0,3
001683_11520,violin,1.0,3
001687_245760,mandolin,0.84055,3
001687_245760,ukulele,0.1782,3
001687_245760,banjo,0.1623,3
001688_3840,mandolin,0.0,3
001691_15360,banjo,0.0,3
001697_0,violin,0.1677,3
001703_130560,ukulele,0.85185,3
001703_130560,mandolin,0.0,3
001703_130560,banjo,0.8389,3
001710_211200,bass,0.18395,3
001710_211200,violin,0.0,3
001740_142080,bass,0.84375,3
001744_3840,ukulele,0.0,3
001755_0,cello,0.1724,3
001831_34560,mandolin,0.8300000000000001,3
001831_34560,banjo,0.0,3
001879_119040,banjo,0.0,3
001913_23040,ukulele,0.16105,3
001915_80640,mandolin,0.0,3
001915_80640,banjo,0.16665,3
001917_84480,ukulele,0.0,3
001919_88320,banjo,0.81035,3
001921_80640,bass,0.0,3
001930_207360,guitar,1.0,3
001946_92160,violin,0.0,3
001984_65280,bass,0.15385,3
001986_72960,banjo,0.1744,3
001986_72960,mandolin,0.8371500000000001,3
001987_0,bass,1.0,3
001988_153600,cello,0.0,3
001988_153600,bass,0.0,3
001999_53760,bass,0.0,3
002018_103680,violin,0.0,3
002106_96000,bass,0.0,3
003262_664320,violin,0.0,3
003265_130560,guitar,0.8421000000000001,3
003267_921600,ukulele,0.0,3
003289_119040,cello,0.0,3
003347_368640,violin,0.0,3
003379_291840,ukulele,0.1875,3
003379_291840,mandolin,0.1747,3
003426_76800,guitar,1.0,3
003429_249600,guitar,1.0,3
003432_142080,guitar,1.0,3
003443_165120,cello,0.0,3
003444_368640,guitar,1.0,3
003459_69120,banjo,1.0,3
003459_69120,mandolin,0.1730999999999999,3
003462_218880,banjo,1.0,3
003462_218880,mandolin,0.1514999999999999,3
003464_69120,banjo,1.0,3
003464_69120,mandolin,0.16215,3
003465_192000,banjo,1.0,3
003466_430080,banjo,0.0,3
003481_142080,guitar,1.0,3
003487_1670400,banjo,0.0,3
003487_1670400,mandolin,0.0,3
003489_69120,banjo,0.0,3
003496_341760,violin,0.0,3
003521_34560,bass,0.0,3
003521_34560,violin,0.0,3
003522_195840,guitar,1.0,3
003534_111360,bass,0.16835,3
003535_188160,mandolin,0.0,3
003535_188160,ukulele,0.0,3
003538_161280,guitar,1.0,3
003540_1102080,ukulele,0.0,3
003540_1102080,cello,0.0,3
003540_1102080,mandolin,0.0,3
003553_560640,guitar,1.0,3
003558_276480,violin,0.0,3
003558_276480,banjo,0.0,3
003559_238080,bass,0.8113,3
003561_272640,banjo,0.0,3
003575_1056000,cello,0.0,3
003588_207360,banjo,0.0,3
003610_1524480,bass,0.0,3
003625_1440000,violin,0.0,3
003661_111360,cello,0.0,3
003664_345600,banjo,0.81665,3
003679_311040,guitar,1.0,3
003707_84480,banjo,0.17645,3
003709_307200,banjo,0.1428499999999999,3
003709_307200,guitar,1.0,3
003710_126720,guitar,1.0,3
003715_46080,guitar,1.0,3
003717_303360,banjo,0.0,3
003742_3840,guitar,1.0,3
003747_453120,mandolin,0.16175,3
003754_230400,banjo,0.0,494
003754_230400,banjo,0.0,3
003765_184320,guitar,1.0,3
003769_11520,guitar,0.85895,3
003772_3840,banjo,1.0,3
003772_3840,mandolin,0.15125,3
003773_1148160,banjo,1.0,3
003773_1148160,mandolin,0.83665,3
003775_103680,banjo,0.0,3
003775_103680,mandolin,1.0,3
003784_61440,mandolin,0.8473999999999999,3
003784_61440,ukulele,1.0,3
003784_61440,banjo,1.0,3
003788_211200,mandolin,1.0,3
003788_211200,ukulele,0.1588999999999999,3
003800_15360,bass,0.0,3
003800_15360,violin,1.0,3
003802_23040,mandolin,0.0,3
003806_111360,ukulele,0.0,3
003806_111360,cello,0.0,3
003809_360960,violin,1.0,3
003829_11520,banjo,0.0,3
003829_11520,mandolin,0.0,3
003844_380160,bass,1.0,3
003853_238080,violin,0.8411500000000001,3
003864_1274880,cello,0.0,3
003880_34560,violin,1.0,3
